ds,yhat,yhat_lower,yhat_upper
2011-12-10,20966.25931951656,2741.1185549112097,39099.662225339736
2011-12-11,36032.63832737182,17928.220056654765,53710.66458648854
2011-12-12,46984.07046428408,29313.943765679473,63150.93273379157
2011-12-13,53380.237516445646,34608.271701954895,70147.85458172607
2011-12-14,50919.50811544578,33745.84177123817,69469.7616450184
2011-12-15,58239.34347678156,40502.80070501964,75292.48327589102
2011-12-16,49269.01727751424,32232.04837156859,67648.90122027461
2011-12-17,22229.516147364637,4303.5667376635665,39577.44718888568
2011-12-18,37295.89515525591,19184.3542457481,54901.815802161866
2011-12-19,48247.327292177724,31535.073692100246,66984.64601746619
2011-12-20,54643.494344339466,36636.33288267766,72118.51003634729
2011-12-21,52182.76494328346,36625.071332740044,69370.90802312431
2011-12-22,59502.60030464527,42671.90363468662,75910.3953682177
2011-12-23,50532.27410534896,33509.77332633818,69480.3902199566
2011-12-24,23492.772975235992,5890.0866753119235,41285.35657342733
2011-12-25,38559.15198305715,20982.878930441126,55473.278582550076
2011-12-26,49510.58412002373,30998.13751989128,68472.0758137107
2011-12-27,55906.75117220011,39594.94006790486,73063.13893627223
2011-12-28,53446.021771193664,37048.968321591645,70860.1943362691
2011-12-29,60765.85713250897,42787.843584249626,79077.92114275087
2011-12-30,51795.53093322786,33633.31413153419,68411.04005030435
2011-12-31,24756.029803127,7658.40848810344,42921.04892377845
2012-01-01,39822.40881094234,23497.47897451106,57214.04618575723
2012-01-02,50773.84094790374,33327.83844694524,67708.02079884146
2012-01-03,57170.00800008421,38817.21723750428,75214.56264136978
2012-01-04,54709.27859904656,36244.24752947037,71192.92108624366
2012-01-05,62029.11396037099,43961.91296189905,79010.9679143425
2012-01-06,53058.78776111139,35518.937805953945,71050.540269053
2012-01-07,26019.28663098672,7786.504476961306,43751.81334643291
2012-01-08,41085.66563882644,22123.078686311597,58886.29290243844
2012-01-09,52037.09777578373,35110.79216327112,70101.9345386078
2012-01-10,58433.26482792137,41502.35484123609,75468.46502202927
2012-01-11,55972.535426926326,40102.61963141013,74520.27364431659
2012-01-12,63292.370788262866,47105.8319431215,81245.88634606553
2012-01-13,54322.0445889682,37437.24236208603,71291.81864031074
2012-01-14,27282.543458858076,9104.581320421008,43220.228448273316
2012-01-15,42348.92246671165,24934.679164972913,59324.14000948152
2012-01-16,53300.35460364337,36756.11373878871,71018.80511946471
2012-01-17,59696.52165581518,42904.54573369109,77492.44691168574
2012-01-18,57235.79225477923,39271.924001824766,74851.57234902868
2012-01-19,64555.62761612656,46639.490691951534,82019.2724715527
2012-01-20,55585.30141682501,37541.52622088475,72778.96061229768
2012-01-21,28545.800286733822,11377.698570016331,46779.90518115903
2012-01-22,43612.17929455377,26811.356960298963,60188.406914222505
2012-01-23,54563.611431509744,37304.28336411926,71780.27005181285
2012-01-24,60959.77848367582,43649.49828043079,79772.47186856011
2012-01-25,58499.04908263213,41296.15314503562,73749.57021713126
2012-01-26,65818.88444401843,47428.920796575716,82831.89548170357
2012-01-27,56848.55824473061,38979.55976081366,75092.8651600674
2012-01-28,29809.057114605177,13083.882732313672,47812.99456851258
2012-01-29,44875.43612243896,26758.608261482816,61316.80047707645
2012-01-30,55826.86825938974,38126.51965739892,73502.4439867142
2012-01-31,62223.035311536456,43784.06675209257,80531.44102686601
2012-02-01,59762.305910527124,43577.2980064437,76762.99590803275
2012-02-02,67082.14127185229,49157.485414027746,84971.25849678015
2012-02-03,58111.81507256535,40143.295975921326,75453.2066597135
2012-02-04,31072.313942464894,12261.302552799372,48793.70867777803
2012-02-05,46138.69295032417,29305.704929834315,64280.16645772974
2012-02-06,57090.12508725611,39450.35488061697,74240.36071110958
2012-02-07,63486.2921394165,46542.10281761024,81121.65270093159
2012-02-08,61025.56273838002,43798.56865058479,78911.72549798548
2012-02-09,68345.39809974417,50281.13408158237,85812.34129172453
2012-02-10,59375.07190042214,41474.74482236029,76712.63188292277
2012-02-11,32335.57077033623,14956.039001724608,50331.706196530584
2012-02-12,47401.94977816626,29944.9309371947,65080.90707045505
2012-02-13,58353.38191512938,40654.309446646876,76291.0407678225
2012-02-14,64749.54896727713,46684.61337672503,82799.77451108122
2012-02-15,62288.81956626156,43933.13505836994,80189.45832556913
2012-02-16,69608.654927636,53390.66514305834,87824.37539881961
2012-02-17,60638.32872825688,42221.36314895496,78322.56058041492
2012-02-18,33598.827598215605,16493.856243639588,52206.310298484896
2012-02-19,48665.20660605146,30715.672215028808,66652.4407816649
2012-02-20,59616.63874299573,41382.16136275221,78036.95818314477
2012-02-21,66012.80579513776,47829.98392886502,83613.38570618072
2012-02-22,63552.07639411445,46397.88183089053,81460.56905463168
2012-02-23,70871.91175546988,53427.97213826067,88189.66651907178
2012-02-24,61901.585556255435,45216.56444304803,80272.08939148404
2012-02-25,34862.08442607532,17266.7002806146,52218.06595173689
2012-02-26,49928.46343393556,32488.98960306191,68176.72884373649
2012-02-27,60879.8955708621,42671.31879966746,77497.02398088368
2012-02-28,67276.06262303157,50326.478496226766,85545.08962225691
2012-02-29,64815.33322198079,46358.51929932029,82916.50512286689
2012-03-01,72135.16858336174,54830.413116480275,89999.69104593359
2012-03-02,63164.84238409015,45561.459841094176,80107.2457470056
2012-03-03,36125.34125393504,18344.31189528302,53467.231262579764
2012-03-04,51191.720261820774,34180.366198223506,68116.27540902617
2012-03-05,62143.15239873538,43662.782577683996,79821.46456183869
2012-03-06,68539.31945086874,50666.48608834321,86266.15730229144
2012-03-07,66078.59004986234,48346.80420169849,83922.14739751846
2012-03-08,73398.42541122544,56168.80446608982,91081.57275216818
